Title,Description,Tags,Notes,Categories,Link
CRSP: Center for Research in Security Prices (Access via SmithApps - CRSPSift),"Contains daily and monthly historical stock data on more than 20,000 stocks (inactive and active companies) from the NYSE (from 1926), AMEX (from 1962), and NASDAQ (from 1972) markets.  Includes U.S. market indices, treasuries, mutual funds.","financial information, industry ratios, mutual funds, stocks, stock exchange",,FINANCE AND INVESTMENT;INDUSTRY,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
D&B Key Business Ratios,Provides key business ratios for industries searchable by industry name and SIC code.,"financial information, industry, ratios",,FINANCE AND INVESTMENT;INDUSTRY,http://proxy-um.researchport.umd.edu/login?url=http://www.mergentonline.com/KBR
Data and Statistics: USA.gov,Data and statistics by listed by topic from U.S government agencies.,"statistics: united states, demographics",,DEMOGRAPHICS AND STATISTICS,http://www.usa.gov/Topics/Reference_Shelf/Data.shtml
Datastream Advance - Access via SmithApps,Provides index related financial data across global markets.,"accounting, annual reports, bonds, dow jones industrial average, economic indicators, financial information, industry ratios, investment & securities, mergers & acquisitions, S&P 500, stocks, stock exchange, stock trades quotes",,COUNTRY RESEARCH;ECONOMICS;FINANCE AND INVESTMENT;INDUSTRY,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
Directory of American Firms Operating in Foreign Countries/Foreign Firms Operating in U.S,Two directories &ndash; one lists American companies with a substantial investment in overseas operations; one provides information about foreign-owned companies in the U.S.,"doing business in, international business, worldwide",,,http://proxy-um.researchport.umd.edu/login?url=https://www.uniworldbp.com/search.php
Dissertations & Theses: Full Text,An authoritative source about doctoral dissertations and master's theses.  Full text from 1997 to the present.,"theses, master's theses, dissertations",,,http://proxy-um.researchport.umd.edu/login?url=http://search.proquest.com/pqdtft?accountid=14696
Doing Business Database,Provides objective measures of business regulations and their enforcement across 183 economies and selected cities at the subnational and regional level.,"country research, doing business in",,,http://www.doingbusiness.org/
E-Stats: Measuring the Electronic Economy,"Site managed by the U.S. Census Bureau and devoted exclusively to ""Measuring the Electronic Economy.""","economics, statistics: united states",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://www.census.gov/econ/estats/
EconLit,"The source for economic research from major scholarly economic journals, working papers, over 400 books and dissertations.","Economics, Economic forecasting, Econometrics, Labor economics, Urban economics, Labor economics, S&P 500, globalization",,ECONOMICS,"http://proxy-um.researchport.umd.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&defaultdb=ecn&profile=ehost"
Economagic,"Free, easily available mostly government economic time series data useful for economic research and economic forecasting.","consumer price index, economic indicators",,ECONOMICS,http://www.economagic.com/
Economic and Financial Crisis - MSU LibGuide," From Mississippi State University, this comprehensive guide provides an ""introduction to resources and research available from the federal government and academic community concerning the recent Economic Stimulus Plans and ongoing economic and financial crisis."" Includes sections on ""Understanding the Crisis"" - with a timeline of events, as well as on housing and foreclosures and the global impact of the economic crisis.",,,,http://guides.library.msstate.edu/content.php?pid=38283&sid=281174
Economic Census,"From the U.S. Census Bureau, Provides a detailed portrait of the United States economy once every five years from the national to the local level covers most of the U.S. economy in its basic collection of establishment statistics such as sales receipts revenue annual payroll number of employees. Related programs include statistics on minority and womenowned businesses. Site contains data on most recent economic census, held in2007.","labor economics, statistics: united states, business planning",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://www.census.gov/econ/census07/
Economics Research Guide, [Maintained by Zaida Diaz and Lily Griner from the UMD Libraries] This guide lists sources of information for researching Economics.,,,,http://lib.guides.umd.edu/content.php?pid=348208&sid=2851221
Economist Historical Archive," A complete searchable copy of every issue of The Economist from 1843 to 2006. With a global circulation of more than 1.2 million, The Economist has consistently delivered a highly intelligent and comprehensive report of international political, business, scientific, technological and cultural developments, with dispatches from all over the world. Includes new full-color images, multiple search indexes, exportable financial tables, a gallery of front covers, supplements, special reports and surveys.",,,,http://proxy-um.researchport.umd.edu/login?url=http://infotrac.galegroup.com/itweb/umd_um?db=ECON
Economy at a Glance,"From the Bureau of Labor Statistics, this site provides data on unemployment rates, average hourly earnings,the consumer price index and producer price index. Historical data is available from 1999 to the present. Data is available by state or at the national level.","statistics: united states, business planning",,DEMOGRAPHICS AND STATISTICS,http://www.bls.gov/eag/home.htm
EDGAR,From the U.S. Securities and Exchange Commission (SEC). Contains all of the filings required of public companies by the SEC.,"financial information, sec filings, annual reports",,FINANCE AND INVESTMENT,http://www.sec.gov/edgar.shtml
EIU Country Commerce,"From The Economist Intelligence Unit, ""A practical guide to regulations, operating conditions and corporate practices in 60 countries."" A good place to start when looking for information on doing business in other countries, covers business information from a regulatory perspective.","country background, doing business in, regulations",,COUNTRY RESEARCH,http://proxy-um.researchport.umd.edu/login?url=http://db.eiu.com/topic_view.asp?pubcode=IT&title=Country+Commerce
EIU Country Finance,," regulations, taxation, doing business in",,,http://proxy-um.researchport.umd.edu/login?url=http://db.eiu.com/topic_view.asp?pubcode=FF&title=Country+Finance
