Title,Description,Tags,Notes,Categories,Link
Wholesale Distributors Net,Directory that provides links to domestic and international wholesale distributors and manufacturers direct.,"distributors, wholesale, manufacturers",,,http://www.wholesaledistributorsnet.com/
World Business Culture,"Practical website that contains country profile information on a range of topics of immediate commercial relevance to anybody working in a global organisation, or studying international trade. The information contained in this site has been compiled by some of the world's leading experts on global business culture who have many years of practical international experience. Our experts have business experience across sectors and across functions from banking to the internet, from consumer electronics to computers.","culture, international business",,,http://worldbusinessculture.com/
World Development Indicators,"The World Bank Group provides direct access to more than 550 development indicators, with time series for 200 countries and 18 country groups from 1960, where data are available.It covers statistical data from 1960 through present in a wide range of areas, including social, economic, financial, natural resources, and environmental indicators.Data export options in Excel or ASCII.",country research,,COUNTRY RESEARCH,http://proxy-um.researchport.umd.edu/login?url=http://databank.worldbank.org/ddp/home.do?Step=12&id=4&CNO=2
World Economic Outlook,"This is a free online database updated biannually by the International Monetary Fund (IMF) with coverage back to 1993 is similar to World Development Indicators in providing basic statistics -- WEO is much more limited in both scope and history, but it includes commodity price data and regional data that's not easily available in WDI.",economic indicators,,ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://www.imf.org/external/ns/cs.aspx?id=28
World Investment Report,"The United Nations Conference on Trade and Development (UNCTAD) World Investment Report focuses every year on the latest trends in foreign direct investment (FDI) around the world, at the regional and country levels and emerging measures to improve its contribution to development. Every issue of the Report includes: analysis of trends in FDI, ranking of the largest transnational corporations in the world, in-depth analysis of a selected topic related to FDI, policy analysis and recommendations, and statisstics with data on FDI flows and stocks for 196 economies.","statistics: international, direct investment, country research",,"COUNTRY RESEARCH,DEMOGRAPHICS AND STATISTICS",http://unctad.org/en/Pages/DIAE/World%20Investment%20Report/World_Investment_Report.aspx
World News Connection,"Provided by Thomson/Dialog, this is the Foreign Broadcast Information Service (FBIS) Reports online. It includes full-text summaries and translations from around the world of newspaper articles, conference proceedings, radio and television broadcasts, non-classified technical reports, and local media sources. Focus is on coverage of political, economic, environmental, and social issues and events. It covers a time span of 1994 to the present.","news, international business",,,http://proxy-um.researchport.umd.edu/login?url=http://wnc.dialog.com/
World Trade Organization - WTO,"This ""international body deals with rules of trade between nations"".",international trade,,,http://www.wto.org/
Worldbank Data Catalog,"World Bank Group datasets, including World Development Indicators (1960-present) and a listing of available World Bank data. This listing will continue to be updated as additional data resources are added. These resources include databases, pre-formatted tables and reports. Each of the listings includes a description of the data source and a direct link to that source. The search results can be exported in different formats. Users can also choose to download the entire database directly from the catalog.",economic indicators,,ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://data.worldbank.org/data-catalog
WorldCat (First Search),"OCLC catalog that contains more than 49 million records describing books, newspapers, maps, periodicals, government documents, etc., owned by libraries around the world. It includes material descriptions and holdings for OCLC member libraries.Time period covered: prior to 1501 - present.",statistics: international,,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://firstsearch.oclc.org/fsip?dbname=worldcat
WorldLII,"Information provided by the World Legal Information Institute (WorldLII) a free, independent and non-profit global legal research facility in partnership with other legal organizations from around the world. Aims to provide free, independent access to world wide laws.",international law,,,http://www.worldlii.org/
WRDS (Wharton Research Data Service), Provides a common front end retrieval system for a large collection of databases.," annual reports, dow jones industrial average, economic indicators, financial information, industry ratios, investment & securities, market share, mergers & acquisitions, ownership status, S&P 500, stocks, stock exchange, stock trades quotes","Access ONLY for Ph.D. students, faculty and faculty-sponsored class research. Access is available by account only - request account at https://wrds.wharton.upenn.edu - Follow instructions. See also About WRDS.",ECONOMICS;FINANCE AND INVESTMENT;INDUSTRY;MARKETING,http://wrds.wharton.upenn.edu/
WWW Virtual Library: International Affairs Resources,"""Two-thousand annotated links to high quality English language sources in a wide range of international affairs, international studies and international relations topics."" Topics include media, organizations, country/regions, business/economics, relations, etc.","international business, international affairs",,,http://www2.etown.edu/vl/
"Zanran- Your Source for Data and Statistics, Graphs, Charts and Tables","Zanran is the Google for data searches. Provides numerical data as graphs, tables and charts. This huge amount of info can be difficult to find using conventional search engines.",statistics: united states,,DEMOGRAPHICS AND STATISTICS,http://zanran.com/q/
